Code,Min,Q1,Median,Q3,Max,TotJobs,TotCU,PercentCU
Overall,1.0,128.0,640.0,2560.0,131072.0,159909,321960.7,100.0
SDPB,128.0,128.0,128.0,128.0,384.0,5221,67291.0,20.9
NAMD,1.0,640.0,640.0,3200.0,28672.0,18946,62013.0,19.3
VASP,4.0,576.0,2560.0,6656.0,16384.0,5769,34435.4,10.7
CASTEP,1.0,64.0,256.0,512.0,7680.0,45237,28667.1,8.9
PDNS3D,128.0,2560.0,3200.0,3200.0,32000.0,93,21554.3,6.7
Unidentified,1.0,144.0,512.0,,17856.0,48834,18658.4,5.8
Gromacs,1.0,512.0,1408.0,1536.0,2560.0,10449,16577.8,5.1
RMT,128.0,1792.0,1920.0,1920.0,3584.0,293,11058.2,3.4
Code_Saturne,128.0,2048.0,2048.0,2048.0,5120.0,47,9620.2,3.0
LAMMPS,4.0,512.0,2560.0,6400.0,6400.0,555,8961.2,2.8
EPOCH,128.0,5120.0,8960.0,10240.0,12800.0,47,8802.0,2.7
FHI aims,16.0,16.0,16.0,1024.0,4096.0,5700,6891.2,2.1
cp2k,2.0,768.0,1024.0,1024.0,1152.0,5007,6220.3,1.9
CRYSTAL,4.0,4096.0,4096.0,4096.0,8192.0,24,3645.1,1.1
Quantum Espresso,16.0,1024.0,1024.0,1024.0,1024.0,1532,3511.4,1.1
NEMO,1.0,456.0,512.0,1302.0,6000.0,2338,2822.9,0.9
OpenFOAM,4.0,256.0,360.0,512.0,1280.0,178,1721.2,0.5
OSIRIS,1.0,2304.0,8192.0,8192.0,131072.0,112,1699.9,0.5
HANDE,1.0,1.0,1.0,1.0,1.0,44,1372.0,0.4
Nektar++,128.0,512.0,512.0,512.0,1024.0,198,1079.2,0.3
Python,1.0,256.0,2560.0,2560.0,2560.0,1101,1054.2,0.3
MITgcm,4.0,96.0,128.0,192.0,432.0,265,1043.2,0.3
HYDRA,12.0,12.0,12.0,12.0,12.0,2,570.3,0.2
TPLS,1024.0,8192.0,8192.0,8192.0,8192.0,11,453.1,0.1
WRF,32.0,120.0,196.0,196.0,196.0,25,447.3,0.1
AxiSEM3D,2.0,1280.0,1280.0,1280.0,1536.0,18,420.7,0.1
Met Office UM,48.0,256.0,576.0,1024.0,1024.0,265,399.8,0.1
GS2,128.0,256.0,256.0,256.0,1024.0,52,378.0,0.1
HemeLB,128.0,256.0,256.0,256.0,256.0,9,263.6,0.1
NWChem,128.0,256.0,512.0,1024.0,1024.0,606,153.1,0.0
Smilei,8.0,8.0,80.0,80.0,80.0,6223,98.1,0.0
CESM,1.0,16.0,64.0,64.0,256.0,355,42.1,0.0
ONETEP,32.0,32.0,32.0,32.0,32.0,1,16.8,0.0
ChemShell,1.0,128.0,128.0,128.0,512.0,337,13.0,0.0
SPECFEM3D,16.0,256.0,256.0,256.0,256.0,2,2.3,0.0
COSA,512.0,512.0,512.0,512.0,512.0,8,2.1,0.0
USCNS3D,8.0,8.0,8.0,8.0,64.0,3,1.1,0.0
ABINIT,128.0,128.0,128.0,128.0,128.0,1,0.2,0.0
SENGA,24.0,24.0,24.0,24.0,24.0,1,0.0,0.0
